"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1909395423883936263","Mon Apr 07 23:58:38 +0000 2025","0","tapi menyetujukan ruu sampah gercep amat kaya dikejar begal","1909395423883936263","","","in","Savannah, GA","0","0","0","https://x.com/leftoverciggs/status/1909395423883936263","1509121106984448007","leftoverciggs"
"1909395335908409386","Mon Apr 07 23:58:17 +0000 2025","0","Mayan juga ampe 2029 akan denger jawaban yang sama ketika di kasih pertanyaan. Key Point : MBG RUU TNI andalan dan AI God Bless Indonesia!","1909395335908409386","","","in","Bali, Indonesia","0","0","0","https://x.com/mattyazid1/status/1909395335908409386","215584096","mattyazid1"
"1909394723800068422","Mon Apr 07 23:55:51 +0000 2025","0","Padahal yg beredar kemarin adalah yg dukung RUU TNI yg lu bayar goblok2","1909394723800068422","","","in","","0","0","0","https://x.com/seaminggo/status/1909394723800068422","1483620192580403202","seaminggo"
"1909394591306199299","Mon Apr 07 23:55:20 +0000 2025","0","otak dia jalan ga sih","1909394591306199299","","","in","Savannah, GA","0","0","0","https://x.com/leftoverciggs/status/1909394591306199299","1509121106984448007","leftoverciggs"
"1909394272958529730","Mon Apr 07 23:54:32 +0000 2025","0","ngetik gweh aja udh belepotan bangun tidur udah ngeliat muka si monokotil dimana mana","1909394390281580662","","leftoverciggs","in","Savannah, GA","0","0","0","https://x.com/leftoverciggs/status/1909394390281580662","1509121106984448007","leftoverciggs"
"1909394272958529730","Mon Apr 07 23:54:04 +0000 2025","1","semoga setelah beliau setelah interview struk ringan karena kebanyakan yapping ga ada isinya","1909394272958529730","","","in","Savannah, GA","0","1","0","https://x.com/leftoverciggs/status/1909394272958529730","1509121106984448007","leftoverciggs"
"1909393976454725666","Mon Apr 07 23:52:53 +0000 2025","0","The fact that this demo RUU TNI is LEADERLESS man kita gapunya siapa siapa buat berlindung we onli depends on each other is so sad","1909393976454725666","","","in","DNFWC","0","0","0","https://x.com/loleviq/status/1909393976454725666","1825188918767263744","loleviq"
"1909393944435372213","Mon Apr 07 23:52:45 +0000 2025","162","Prabowo bicara soal demo ruu tni. Silakan simak dan beri tanggapan. ️ https://t.co/MJYgVhXiQQ","1909393944435372213","https://pbs.twimg.com/amplify_video_thumb/1909393864794030082/img/Jp4F7t5Lyiz6m24Q.jpg","","in","Indonesia","9","81","47","https://x.com/yusuf_dumdum/status/1909393944435372213","2156465923","yusuf_dumdum"
"1909393547461337297","Mon Apr 07 23:51:11 +0000 2025","0","dari si gendats monokotil ini bilang demo unjuk rasa ruu tni ada yang bayar aje opini kayak buzzer anying wtf","1909393547461337297","","","in","","0","0","0","https://x.com/Blanketrice1/status/1909393547461337297","828449305","Blanketrice1"
"1909220939532808646","Mon Apr 07 23:48:37 +0000 2025","1","@Vaniizwd @tanyarlfes @tanyarlfes @Vaniizwd Prabowo mungkin terdengar ngelantur di wawancara Hambalang 6 April 2025 karena tekanan tinggi dari 7 jurnalis senior topik rumit seperti RUU TNI dan gaya bicaranya yang penuh anekdot. Strategi politik untuk hindari jawaban langsung juga bisa jadi faktor https://t.co/FMPiqppxQu","1909392904574947644","https://pbs.twimg.com/media/Gmq59kbaMAAmRX2.jpg","Vaniizwd","in","wherever you are","0","0","0","https://x.com/grok/status/1909392904574947644","1720665183188922368","grok"
